NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
9;2023;2;48;9;6;1;6;1;:;S;N;4;1;;;S;6;2;S;1;1;S;2;5;4;7;4;2;;;1;278,7374
10;2023;2;48;9;1;2;15;1;:;N;N;2;3;;;N;;;;;;;4;7;8;2;4;2;;;1;91,7866
10;2023;2;48;9;6;1;14;1;:;N;N;2;1;;;N;;;;;;;4;4;5;10;4;2;;;2;94,7152
11;2023;2;1;9;6;1;6;1;:;S;N;4;3;2;2;N;;;;;;;1;2;5;4;4;2;1;16;3;51,4423
11;2023;2;1;9;6;1;4;1;:;N;N;4;3;;;S;6;2;S;1;3;S;3;6;;;;;;;3;41,1155
11;2023;2;1;9;1;1;12;1;:;N;N;4;1;1;4;N;;;;;;;1;2;3;4;4;2;1;32;1;36,2823
11;2023;2;1;9;6;1;11;1;:;N;N;4;1;1;4;N;;;;;;;1;2;9;4;4;2;1;32;2;35,4858
11;2023;2;1;9;6;1;5;1;:;N;N;4;3;1;2;N;;;;;;;1;2;5;4;4;2;1;40;3;37,1167
12;2023;2;1;9;6;2;16;1;:;N;N;2;1;;;N;;;;;;;4;4;8;2;4;2;;;2;55,5018
12;2023;2;1;9;1;1;17;1;:;N;N;2;2;;;N;;;;;;;4;7;7;2;4;2;;;1;53,2143
13;2023;2;1;9;1;1;18;1;:;N;N;2;3;;;N;;;;;;;4;7;9;1;4;2;;;1;13,3124
14;2023;2;48;9;1;1;16;1;:;N;N;2;1;;;N;;;;;;;4;4;1;3;4;2;;;1;174,4774
15;2023;2;48;9;6;2;18;1;:;N;N;2;1;;;N;;;;;;;4;4;9;10;4;2;;;1;156,4724
15;2023;2;48;9;1;2;17;1;:;N;N;2;1;;;N;;;;;;;4;4;7;3;4;2;;;2;151,6344
16;2023;2;20;9;1;2;15;1;:;N;N;2;1;;;N;;;;;;;4;4;7;2;4;2;;;1;124,9797
16;2023;2;20;9;6;3;15;1;:;N;N;4;1;;;N;;;;;;;4;4;9;10;4;2;;;2;128,5233
17;2023;2;20;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;2;3;2;4;2;1;39;2;148,8888
17;2023;2;20;9;1;1;11;1;:;N;S;4;1;1;2;N;;;;;;;1;2;9;2;4;2;1;39;1;159,013
17;2023;2;20;9;1;1;3;1;:;S;;;;;;;;;;;;;;;;;;;;;3;136,4265
18;2023;2;20;9;1;2;16;1;:;N;N;2;1;;;N;;;;;;;4;4;5;9;4;1;;;1;134,1725
18;2023;2;20;9;6;2;16;1;:;N;N;4;1;;;N;;;;;;;4;4;9;10;4;2;;;2;137,9769
19;2023;2;1;9;1;1;5;1;:;S;N;4;2;;;N;;;;;;;4;4;;;;;;;3;69,1273
19;2023;2;1;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;2;5;4;4;2;1;40;2;75,9371
19;2023;2;1;9;1;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;2;8;4;4;2;1;40;1;77,6416
20;2023;2;48;9;6;2;18;1;:;N;N;4;2;;;N;;;;;;;4;7;;;;;;;1;189,3472
21;2023;2;1;9;1;2;15;1;:;N;N;2;1;;;N;;;;;;;4;4;7;2;4;2;;;1;52,0271
21;2023;2;1;9;1;1;14;1;:;N;N;2;1;;;N;;;;;;;4;4;1;5;4;2;;;2;52,0271
22;2023;2;48;9;1;2;13;1;:;N;N;4;2;1;3;N;;;;;;;1;2;8;4;2;;;0;1;198,3704
22;2023;2;48;9;6;2;13;1;:;N;N;4;1;1;2;N;;;;;;;1;2;1;4;1;;;40;2;204,2577
22;2023;2;48;9;1;1;5;1;:;S;N;4;2;;;N;;;;;;;4;4;;;;;;;3;190,9207
23;2023;2;20;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;2;7;8;4;2;1;40;2;160,3413
23;2023;2;20;9;6;1;3;1;:;S;;;;;;;;;;;;;;;;;;;;;3;174,395
23;2023;2;20;9;1;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;2;3;8;4;2;1;40;1;171,2443
24;2023;2;48;9;1;3;10;2;:;N;N;4;1;1;2;N;;;;;;;1;2;7;4;2;;;40;1;376,34
24;2023;2;48;9;1;1;3;1;:;S;;;;;;;;;;;;;;;;;;;;;3;237,4545
24;2023;2;48;9;6;3;9;2;:;N;N;4;1;2;5;N;;;;;;;1;2;9;9;4;2;5;15;2;352,4138
24;2023;2;48;9;6;3;5;2;:;N;N;4;2;;;N;;;;;;;4;7;5;10;4;2;;;3;376,5692
25;2023;2;48;9;1;1;7;1;:;N;N;4;2;1;2;N;;;;;;;1;2;7;2;4;2;5;40;3;243,2526
25;2023;2;48;9;1;2;13;1;:;N;N;4;1;2;5;N;;;;;;;1;2;7;2;4;2;5;0;2;290,7328
25;2023;2;48;9;6;1;14;1;:;N;S;2;1;;;N;;;;;;;4;4;5;9;4;2;;;1;318,8635
26;2023;2;1;9;6;1;17;1;:;N;N;4;1;;;N;;;;;;;4;4;5;4;4;2;;;4;69,9423
26;2023;2;1;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;2;1;8;2;;;40;1;38,974
26;2023;2;1;9;6;1;5;1;:;S;N;4;2;;;N;;;;;;;4;4;;;;;;;3;34,0075
27;2023;2;20;3;6;1;14;1;:;N;N;2;1;;;N;;;;;;;4;4;4;4;4;2;;;1;116,6477
28;2023;2;1;9;1;2;14;1;:;N;N;2;1;;;N;;;;;;;4;4;7;2;4;2;;;1;127,2907
28;2023;2;1;9;6;1;13;1;:;N;N;4;1;;;N;;;;;;;4;4;;;;;;;2;62,9071
29;2023;2;20;9;1;1;11;1;:;N;N;4;1;1;3;N;;;;;;;1;2;7;3;2;;;0;1;161,1352
30;2023;2;20;9;1;2;10;1;:;N;N;4;1;1;2;N;;;;;;;1;2;7;3;4;2;1;40;1;184,0219
31;2023;2;48;1;1;2;18;1;:;N;N;2;1;;;N;;;;;;;4;4;7;2;4;2;;;2;176,1032
31;2023;2;48;1;6;2;18;1;:;N;N;4;1;;;N;;;;;;;4;4;9;10;4;2;;;1;181,722
32;2023;2;1;9;1;1;9;1;:;N;S;4;1;1;2;N;;;;;;;1;2;9;8;4;2;1;40;3;78,5859
32;2023;2;1;9;6;2;15;1;:;N;N;2;1;;;N;;;;;;;4;4;9;9;4;2;;;1;141,9354
33;2023;2;20;9;6;1;18;1;:;N;N;2;1;;;N;;;;;;;4;4;9;9;4;1;;;1;120,9503
34;2023;2;1;9;1;3;6;2;:;N;N;4;1;;;S;6;2;S;4;21;S;2;5;9;1;4;2;;;4;28,8981
34;2023;2;1;9;1;3;7;2;:;N;N;4;1;;;S;6;2;S;3;8;S;2;5;9;1;4;2;;;1;28,8981
35;2023;2;1;9;1;1;13;1;:;N;N;4;1;1;2;N;;;;;;;1;2;7;2;4;2;1;40;2;44,3922
35;2023;2;1;9;6;1;13;1;:;N;S;4;1;1;2;N;;;;;;;1;2;2;9;4;1;1;35;1;44,0409
35;2023;2;1;9;6;1;6;1;:;N;N;4;2;1;2;N;;;;;;;1;2;2;9;4;1;5;38;3;60,5803
35;2023;2;1;9;1;1;7;1;:;N;N;4;3;1;2;N;;;;;;;1;2;2;2;3;;;40;3;63,9089
36;2023;2;48;1;1;1;10;1;:;N;N;4;1;1;4;N;;;;;;;1;2;5;4;4;2;1;32;1;187,1377
36;2023;2;48;1;1;1;9;1;:;N;N;4;1;1;4;N;;;;;;;1;2;2;9;4;1;5;32;2;216,2457
37;2023;2;48;1;1;1;9;1;:;N;N;4;1;1;2;N;;;;;;;1;2;5;10;4;2;1;40;3;237,3079
37;2023;2;48;1;6;1;14;1;:;N;N;2;1;;;N;;;;;;;4;4;8;2;4;2;;;1;329,6674
38;2023;2;48;9;6;2;15;1;:;N;N;4;1;;;N;;;;;;;4;4;5;4;4;2;;;1;209,8744
39;2023;2;1;2;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;2;3;2;4;2;1;24;1;177,1364
39;2023;2;1;2;6;1;12;1;:;N;N;4;1;1;4;N;;;;;;;1;2;3;2;3;;;24;2;191,6554
39;2023;2;1;2;6;1;5;1;:;N;N;4;1;2;4;N;;;;;;;1;2;5;4;4;2;5;16;3;177,8402
40;2023;2;48;9;1;1;9;1;:;N;N;4;1;1;2;N;;;;;;;1;2;2;8;4;1;5;35;3;114,6387
40;2023;2;48;9;6;1;15;1;:;N;N;2;1;;;N;;;;;;;4;4;6;1;2;;;;2;153,2087
40;2023;2;48;9;1;1;16;1;:;N;N;2;2;;;N;;;;;;;4;7;7;2;4;2;;;1;148,4715
41;2023;2;1;2;1;1;11;1;:;S;N;4;1;;;N;;;;;;;4;4;2;9;4;1;;;3;167,1685
41;2023;2;1;2;6;2;18;1;:;N;N;4;4;;;N;;;;;;;4;7;7;2;4;2;;;1;331,4167
42;2023;2;48;9;1;1;10;1;:;N;N;3;3;;;N;;;;;;;4;7;4;2;4;2;;;3;234,0095
42;2023;2;48;9;6;1;11;1;:;N;N;4;1;;;S;6;3;S;7;90;S;2;5;5;10;4;2;;;3;218,6508
42;2023;2;48;9;6;2;17;1;:;N;N;2;1;;;N;;;;;;;4;4;9;10;4;2;;;1;329,8827
43;2023;2;1;2;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;2;8;10;4;1;1;40;1;164,904
43;2023;2;1;2;1;1;9;1;:;N;S;4;2;;;S;6;1;S;1;72;S;4;7;5;4;4;2;;;4;139,8907
44;2023;2;20;3;6;1;18;1;:;N;N;4;1;;;N;;;;;;;4;4;;;;;;;1;206,0421
44;2023;2;20;3;1;1;12;1;:;N;N;4;1;1;4;N;;;;;;;1;2;5;4;4;2;1;0;3;128,9386
45;2023;2;20;9;1;1;16;1;:;N;N;2;4;;;N;;;;;;;4;7;7;1;4;2;;;2;134,1725
45;2023;2;20;9;6;3;17;1;:;N;N;2;4;;;N;;;;;;;4;7;7;2;4;2;;;1;137,9769
46;2023;2;20;9;1;2;14;1;:;N;N;2;1;;;N;;;;;;;4;4;3;2;4;2;;;1;103,0783
46;2023;2;20;9;6;1;14;1;:;N;N;4;1;;;N;;;;;;;4;4;5;10;2;;;;2;106,0009
47;2023;2;1;2;6;1;10;1;:;N;N;4;2;1;2;N;;;;;;;1;2;3;9;4;1;1;28;1;180,083
48;2023;2;20;9;1;1;9;1;:;N;N;4;1;1;2;N;;;;;;;1;2;8;2;4;2;5;40;1;210,4177
49;2023;2;48;9;6;1;10;1;:;N;S;4;1;1;2;N;;;;;;;1;2;4;9;4;1;5;39;1;203,4741
50;2023;2;1;2;6;1;15;1;:;N;N;2;1;;;N;;;;;;;4;4;4;2;4;2;;;2;141,6434
50;2023;2;1;2;1;1;17;1;:;N;N;2;3;;;N;;;;;;;4;7;7;2;4;2;;;1;135,8056
51;2023;2;1;2;1;1;11;1;:;N;N;4;1;;;N;;;;;;;4;4;6;8;4;2;;;1;179,0139
52;2023;2;48;9;6;1;8;1;:;N;N;4;1;;;S;6;2;S;6;5;S;2;5;3;8;4;2;;;3;257,315
52;2023;2;48;9;6;2;16;1;:;N;N;2;1;;;N;;;;;;;4;4;9;10;4;2;;;1;316,058
52;2023;2;48;9;1;2;16;1;:;N;N;2;1;;;N;;;;;;;4;4;8;3;2;;;;2;306,2856
53;2023;2;48;9;6;1;13;1;:;N;N;4;1;2;5;N;;;;;;;1;2;7;2;4;2;5;0;2;162,1617
53;2023;2;48;9;1;1;14;1;:;N;N;2;1;;;N;;;;;;;4;4;7;2;4;2;;;1;172,1219
54;2023;2;48;9;6;1;14;1;:;N;N;2;1;;;N;;;;;;;4;4;3;2;3;;;;2;160,0548
54;2023;2;48;9;1;2;16;1;:;N;N;2;2;;;N;;;;;;;4;7;4;2;4;2;;;1;155,1059
55;2023;2;48;1;6;1;13;1;:;N;N;4;1;;;N;;;;;;;4;4;;;;;;;1;221,1041
55;2023;2;48;1;1;1;13;1;:;N;N;4;1;1;3;N;;;;;;;1;2;7;3;4;2;1;0;2;174,6622
56;2023;2;1;2;6;2;14;1;:;N;N;2;1;;;N;;;;;;;4;4;9;4;5;;;;1;130,523
56;2023;2;1;2;1;2;14;1;:;N;N;2;2;;;N;;;;;;;4;7;7;2;4;2;;;2;125,1435
57;2023;2;20;9;1;2;13;1;:;N;N;2;1;;;N;;;;;;;4;4;6;1;4;2;;;1;279,1185
57;2023;2;20;9;6;1;4;1;:;S;N;4;1;;;N;;;;;;;4;4;;;;;;;3;179,8596
57;2023;2;20;9;6;1;12;1;:;N;N;4;1;2;2;S;3;2;S;4;5;S;1;3;9;8;4;2;1;10;2;176,5223
57;2023;2;20;9;6;1;5;1;:;N;N;4;1;;;S;6;2;S;7;8;S;2;5;9;8;4;2;;;3;285,4908
58;2023;2;48;9;1;1;7;1;:;N;N;4;1;2;2;S;2;2;S;9;8;S;1;2;2;9;4;2;2;25;3;362,8631
58;2023;2;48;9;6;1;5;1;:;S;N;4;1;;;N;;;;;;;4;4;;;;;;;3;393,5108
58;2023;2;48;9;1;2;13;1;:;N;N;2;4;;;N;;;;;;;4;7;2;9;4;1;;;1;338,4529
58;2023;2;48;9;6;1;13;1;:;N;N;4;1;;;N;;;;;;;4;4;2;9;4;2;;;2;301,3305
59;2023;2;20;3;1;1;9;1;:;N;N;4;2;1;4;N;;;;;;;1;2;1;8;2;;;32;3;168,5582
59;2023;2;20;3;6;1;15;1;:;N;N;4;1;1;4;N;;;;;;;1;2;1;7;1;;;28;1;206,8163
60;2023;2;20;3;1;1;9;1;:;N;N;4;1;1;2;N;;;;;;;1;1;8;2;4;2;1;56;1;156,174
60;2023;2;20;3;1;1;2;1;:;S;;;;;;;;;;;;;;;;;;;;;3;140,4148
60;2023;2;20;3;6;2;9;1;:;N;N;4;1;;;S;6;1;S;7;1;S;2;5;7;2;4;2;;;2;194,2965
60;2023;2;20;3;1;1;2;1;:;S;;;;;;;;;;;;;;;;;;;;;3;140,4148
61;2023;2;20;9;6;3;14;2;:;N;N;4;2;;;N;;;;;;;4;7;5;10;4;2;;;1;121,468
62;2023;2;1;2;6;2;14;1;:;N;N;2;1;;;N;;;;;;;4;4;6;1;4;2;;;1;162,0899
63;2023;2;20;9;6;1;10;1;:;N;S;4;1;1;3;N;;;;;;;1;2;3;10;4;2;1;22;2;164,6457
63;2023;2;20;9;1;1;2;1;:;S;;;;;;;;;;;;;;;;;;;;;3;160,1912
63;2023;2;20;9;1;1;2;1;:;S;;;;;;;;;;;;;;;;;;;;;3;160,1912
63;2023;2;20;9;1;1;3;1;:;S;;;;;;;;;;;;;;;;;;;;;3;160,1912
63;2023;2;20;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;2;3;10;4;2;1;40;1;175,8414
64;2023;2;48;9;1;1;14;1;:;N;N;2;2;;;N;;;;;;;4;7;7;2;4;2;;;1;180,5298
64;2023;2;48;9;6;2;14;1;:;N;N;4;1;;;N;;;;;;;4;4;5;10;2;;;;2;186,2898
65;2023;2;1;2;1;1;12;1;:;N;N;4;1;;;S;6;2;S;7;55;S;2;5;4;2;4;2;;;1;160,7453
65;2023;2;1;2;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;2;4;9;4;1;1;35;2;174,2379
65;2023;2;1;2;1;1;5;1;:;S;N;4;2;;;N;;;;;;;4;4;;;;;;;3;154,3245
66;2023;2;1;9;1;1;2;1;:;S;;;;;;;;;;;;;;;;;;;;;3;33,2284
66;2023;2;1;9;1;1;1;1;:;N;;;;;;;;;;;;;;;;;;;;;3;33,2284
66;2023;2;1;9;1;1;9;1;:;N;N;4;1;1;3;N;;;;;;;1;2;4;4;3;;;0;1;43,5029
67;2023;2;20;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;1;2;9;4;1;1;60;1;172,8712
68;2023;2;20;3;6;2;10;1;:;N;S;4;1;;;S;6;2;S;7;9;S;2;5;3;6;4;2;;;1;113,1383
68;2023;2;20;3;1;1;10;1;:;N;N;4;1;1;4;N;;;;;;;1;2;3;2;4;2;1;32;2;116,9752
69;2023;2;48;9;6;3;12;2;:;N;N;4;1;2;2;S;4;4;S;4;57;S;1;3;9;10;4;2;1;10;1;296,621
70;2023;2;1;9;6;1;17;1;:;N;N;4;4;;;N;;;;;;;4;7;;;;;;;4;134,7214
70;2023;2;1;9;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;2;3;9;4;2;1;40;2;68,4236
70;2023;2;1;9;6;1;6;1;:;N;S;4;1;1;2;N;;;;;;;1;2;2;8;3;;;40;3;97,6723
70;2023;2;1;9;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;2;8;4;4;2;1;40;1;68,477
71;2023;2;48;9;1;1;15;1;:;N;N;2;1;;;N;;;;;;;4;4;1;2;2;;;;1;158,8837
71;2023;2;48;9;6;2;15;1;:;N;N;4;1;;;N;;;;;;;4;4;5;4;4;2;;;2;163,9531
72;2023;2;48;9;6;1;14;1;:;N;S;4;1;;;N;;;;;;;4;4;4;2;4;2;;;2;146,6785
72;2023;2;48;9;1;1;14;1;:;N;N;2;1;;;N;;;;;;;4;4;1;4;4;2;;;1;142,1432
73;2023;2;1;2;6;3;6;1;:;S;S;4;1;2;3;N;;;;;;;1;2;5;9;4;2;1;0;2;249,3172
73;2023;2;1;2;6;1;1;1;:;N;;;;;;;;;;;;;;;;;;;;;3;155,4032
73;2023;2;1;2;1;3;7;1;:;S;N;4;1;2;2;N;;;;;;;1;2;5;9;4;1;1;18;1;236,8881
74;2023;2;20;9;6;1;18;1;:;N;N;2;2;;;N;;;;;;;4;7;9;10;4;2;;;1;136,822
75;2023;2;1;2;6;2;13;1;:;N;N;4;1;;;N;;;;;;;4;4;9;10;4;2;;;1;153,5861
76;2023;2;48;9;1;1;18;1;:;N;N;2;1;;;N;;;;;;;4;4;7;2;2;;;;1;86,9241
77;2023;2;1;2;1;1;10;1;:;N;N;4;1;;;S;6;1;S;4;4;S;2;5;8;2;4;2;;;1;158,3608
78;2023;2;1;2;6;1;3;1;:;S;;;;;;;;;;;;;;;;;;;;;3;210,1201
78;2023;2;1;2;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;2;2;8;4;2;1;35;1;207,9299
78;2023;2;1;2;1;1;2;1;:;S;;;;;;;;;;;;;;;;;;;;;3;214,2025
78;2023;2;1;2;6;2;10;1;:;N;S;4;1;1;2;N;;;;;;;1;2;4;9;4;1;5;35;2;223,2329
79;2023;2;20;9;1;1;1;1;:;S;;;;;;;;;;;;;;;;;;;;;3;158,5642
79;2023;2;20;9;1;1;8;1;:;N;N;4;1;1;4;N;;;;;;;1;2;2;2;4;2;1;32;1;222,0381
79;2023;2;20;9;6;1;8;1;:;N;S;4;1;1;4;N;;;;;;;1;2;3;6;4;2;1;32;2;186,1028
79;2023;2;20;9;6;1;2;1;:;S;;;;;;;;;;;;;;;;;;;;;3;185,7564
80;2023;2;48;9;6;1;18;1;:;N;N;4;1;;;N;;;;;;;4;4;5;4;5;;;;1;172,2076
81;2023;2;48;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;2;5;4;4;2;1;38;1;180,5173
81;2023;2;48;9;1;1;7;1;:;N;N;4;2;;;N;;;;;;;4;7;4;4;4;2;;;3;290,5235
82;2023;2;48;9;6;1;12;1;:;N;N;4;1;;;N;;;;;;;4;4;;;;;;;2;230,278
82;2023;2;48;9;1;1;5;1;:;N;N;4;2;1;2;N;;;;;;;1;2;2;9;4;1;5;24;3;191,5607
82;2023;2;48;9;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;1;7;4;2;;;50;1;216,9002
83;2023;2;20;9;6;1;7;1;:;N;N;4;1;1;4;N;;;;;;;1;2;2;9;4;1;5;28;1;229,5122
84;2023;2;48;9;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;2;4;2;3;;;40;1;235,1902
85;2023;2;20;3;1;1;4;1;:;S;N;4;4;;;N;;;;;;;4;4;;;;;;;3;158,4321
85;2023;2;20;3;6;1;5;1;:;N;N;4;2;2;2;N;;;;;;;1;3;2;9;4;1;5;10;3;142,1803
85;2023;2;20;3;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;2;7;4;4;2;1;40;1;155,6129
85;2023;2;20;3;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;2;2;9;4;2;1;40;2;152,9279
86;2023;2;48;9;1;1;11;1;:;N;N;4;1;1;4;N;;;;;;;1;2;4;9;4;2;1;24;1;232,9797
87;2023;2;20;3;1;1;12;1;:;N;N;4;3;1;2;N;;;;;;;1;2;4;4;4;2;5;32;1;169,2017
87;2023;2;20;3;6;1;12;1;:;N;S;4;1;1;4;N;;;;;;;1;2;2;9;4;1;1;0;2;167,2813
87;2023;2;20;3;6;1;5;1;:;S;N;4;2;;;N;;;;;;;4;4;;;;;;;3;166,6588
87;2023;2;20;3;6;1;4;1;:;S;N;4;2;;;N;;;;;;;4;4;;;;;;;3;165,915
88;2023;2;48;9;6;1;7;1;:;N;N;4;1;1;2;N;;;;;;;1;1;2;9;2;;;50;3;383,5155
88;2023;2;48;9;1;2;12;1;:;N;N;4;1;1;2;S;4;1;S;4;9;N;1;1;1;3;2;;;80;1;261,0662
88;2023;2;48;9;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;2;3;4;4;2;1;40;2;273,3718
88;2023;2;48;9;6;1;6;1;:;N;N;4;1;2;2;S;1;1;S;4;8;S;1;2;5;4;4;2;1;30;3;460,8102
89;2023;2;48;9;1;1;10;1;:;N;N;4;1;;;S;6;2;S;7;69;S;2;5;9;8;4;2;;;2;259,3118
89;2023;2;48;9;6;1;10;1;:;N;N;4;1;2;2;N;;;;;;;1;2;9;8;4;2;1;26;1;187,4261
89;2023;2;48;9;1;1;2;1;:;S;;;;;;;;;;;;;;;;;;;;;3;199,3182
90;2023;2;48;9;6;2;10;1;:;N;N;4;1;;;N;;;;;;;4;4;9;4;4;2;;;1;250,0323
90;2023;2;48;9;6;1;3;1;:;S;;;;;;;;;;;;;;;;;;;;;3;244,1223
90;2023;2;48;9;1;1;9;1;:;N;N;4;1;1;2;N;;;;;;;1;2;8;2;4;2;1;40;2;254,3351
90;2023;2;48;9;1;1;5;1;:;N;S;4;2;1;2;N;;;;;;;1;2;8;2;4;2;5;40;3;244,2019
91;2023;2;48;9;1;1;7;1;:;N;N;4;1;;;S;6;1;S;3;2;S;2;5;9;2;4;2;;;1;229,2423
92;2023;2;20;9;6;1;13;1;:;N;N;2;1;;;N;;;;;;;4;4;2;4;2;;;;2;157,2828
92;2023;2;20;9;1;1;15;1;:;N;N;2;2;;;N;;;;;;;4;7;3;2;4;2;;;1;227,1312
93;2023;2;20;9;1;1;15;1;:;N;N;2;1;;;N;;;;;;;4;4;6;1;2;;;;1;145,8927
94;2023;2;48;9;1;1;15;1;:;N;N;2;1;;;N;;;;;;;4;4;3;2;4;2;;;1;165,1072
94;2023;2;48;9;6;2;15;1;:;N;N;2;1;;;N;;;;;;;4;4;2;8;4;2;;;2;170,3751
95;2023;2;1;9;6;2;11;1;:;N;N;4;1;1;2;N;;;;;;;1;2;8;2;4;2;1;40;1;45,1761
95;2023;2;1;9;1;1;5;1;:;S;S;4;3;;;N;;;;;;;4;4;;;;;;;3;40,5873
95;2023;2;1;9;1;1;4;1;:;S;N;4;3;;;N;;;;;;;4;4;;;;;;;3;40,5873
96;2023;2;48;9;6;1;15;1;:;N;N;4;1;;;N;;;;;;;4;4;9;4;4;2;;;1;186,1619
97;2023;2;1;2;6;2;16;1;:;N;N;4;1;;;N;;;;;;;4;4;9;4;4;2;;;2;143,2022
97;2023;2;1;2;1;2;17;1;:;N;N;2;1;;;N;;;;;;;4;4;8;2;4;2;;;1;137,3001
98;2023;2;48;9;6;1;18;1;:;N;N;4;1;;;N;;;;;;;4;4;;;;;;;1;211,8597
99;2023;2;20;3;1;3;11;2;:;N;N;4;1;;;S;6;1;S;5;39;S;2;5;1;4;4;2;;;4;121,762
99;2023;2;20;3;6;1;12;1;:;N;N;4;1;1;3;N;;;;;;;1;2;2;9;4;1;1;0;1;127,046
100;2023;2;48;1;1;1;11;1;:;N;S;4;1;1;2;N;;;;;;;1;2;9;2;4;2;1;40;2;173,5531
100;2023;2;48;1;6;1;12;1;:;N;S;4;1;1;2;N;;;;;;;1;2;9;8;4;2;1;35;1;170,4727
101;2023;2;48;9;6;1;14;1;:;N;N;4;1;;;N;;;;;;;4;4;5;10;2;;;;1;91,7571
101;2023;2;48;9;1;1;14;1;:;N;N;2;2;;;N;;;;;;;4;7;8;2;4;2;;;2;88,92
101;2023;2;48;9;6;1;18;1;:;N;N;2;4;;;N;;;;;;;4;7;5;4;2;;;;4;91,7571
102;2023;2;20;3;1;1;9;1;:;N;N;4;1;;;S;6;2;S;3;1;S;2;5;2;5;2;;;;1;213,204
103;2023;2;48;9;1;1;6;1;:;N;N;4;1;1;4;N;;;;;;;1;2;8;4;4;2;1;24;4;246,0873
103;2023;2;48;9;1;1;6;1;:;N;S;4;1;1;4;N;;;;;;;1;2;2;9;4;1;5;0;1;253,7578
