,age,nationality,place_birth,sex,province,relationship,main_occupation,availability,search_work,search_reason,search_steps,search_method,search_months,main_activity,main_prof_situation,main_sector,contract_type,hours
81,8,1,1,1,48,2,4.0,,N,,,,,9.0,4.0,1.0,5.0,38.0
82,4,1,1,6,48,3,,,N,,,,,,,,,
83,10,1,1,6,20,2,4.0,,N,,,,,2.0,4.0,2.0,1.0,-0.0
84,11,1,1,1,48,1,4.0,,N,,,,,9.0,4.0,2.0,1.0,40.0
85,3,1,1,6,20,3,,,,,,,,,,,,
86,5,1,1,6,1,3,9.0,S,S,6.0,S,4.0,2.0,2.0,4.0,2.0,,
87,14,1,1,1,48,1,7.0,,N,,,,,2.0,4.0,2.0,,
88,9,1,1,1,20,3,2.0,,N,,,,,8.0,4.0,2.0,1.0,40.0
89,3,1,1,1,20,3,,,N,,,,,,,,,
90,3,1,1,6,20,3,,,N,,,,,,,,,
91,4,1,1,6,20,3,,,N,,,,,,,,,
92,3,1,1,1,48,3,,,,,,,,,,,,
93,17,1,1,6,48,1,1.0,,N,,,,,4.0,2.0,,,
94,3,1,1,1,48,3,,,,,,,,,,,,
95,16,1,2,6,1,2,7.0,,N,,,,,2.0,4.0,2.0,,
96,11,1,2,1,20,1,5.0,,N,,,,,4.0,4.0,2.0,1.0,39.0
97,14,1,1,6,20,1,3.0,,N,,,,,2.0,4.0,2.0,,
98,11,1,1,6,48,2,5.0,,N,,,,,4.0,2.0,,,48.0
99,10,1,1,1,20,1,8.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
100,10,1,1,1,20,1,4.0,,N,,,,,4.0,4.0,2.0,1.0,20.0
101,12,1,1,1,48,1,8.0,S,S,6.0,S,4.0,17.0,4.0,4.0,2.0,,
102,3,1,1,1,20,3,,,N,,,,,,,,,
103,4,1,1,6,48,3,,,N,,,,,,,,,
104,15,1,1,6,48,2,5.0,,N,,,,,4.0,4.0,2.0,,
105,10,1,1,1,48,1,5.0,,N,,,,,8.0,2.0,,,53.0
106,4,1,1,1,48,3,,,N,,,,,,,,,
107,12,1,1,1,48,4,3.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
108,11,1,2,6,20,1,2.0,,N,,,,,9.0,4.0,1.0,1.0,0.0
109,5,1,1,1,48,3,3.0,,N,,,,,10.0,4.0,2.0,5.0,40.0
110,16,1,1,6,48,2,5.0,,N,,,,,10.0,2.0,,,
111,13,1,1,1,20,1,2.0,,N,,,,,9.0,4.0,1.0,1.0,33.0
112,14,1,2,6,48,1,9.0,,N,,,,,9.0,4.0,2.0,,
113,14,1,2,6,20,2,9.0,,N,,,,,8.0,4.0,2.0,,
114,9,1,1,1,20,1,2.0,,N,,,,,9.0,4.0,2.0,5.0,38.0
115,10,1,1,1,20,1,5.0,,N,,,,,4.0,1.0,,,55.0
116,9,1,1,6,48,1,2.0,,N,,,,,9.0,4.0,1.0,1.0,35.0
117,9,1,1,1,48,1,3.0,,N,,,,,4.0,4.0,2.0,1.0,-0.0
118,10,1,1,1,1,2,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
119,15,1,1,6,1,2,5.0,,N,,,,,4.0,2.0,,,
120,14,1,1,1,1,1,1.0,,N,,,,,2.0,4.0,2.0,,
121,10,1,3,1,1,1,3.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
122,2,1,1,6,20,3,,,,,,,,,,,,
123,10,1,2,1,48,1,2.0,,N,,,,,8.0,2.0,,,40.0
124,2,1,1,1,1,3,,,,,,,,,,,,
125,18,1,1,6,20,1,,,N,,,,,,,,,
126,10,1,1,1,1,1,5.0,S,S,6.0,S,5.0,41.0,8.0,2.0,,,
127,13,1,2,1,20,1,7.0,,N,,,,,3.0,4.0,2.0,1.0,40.0
128,11,1,1,1,20,1,3.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
129,15,1,1,6,1,1,9.0,,N,,,,,10.0,4.0,2.0,,
130,11,1,1,6,20,1,3.0,,N,,,,,6.0,4.0,2.0,1.0,40.0
131,10,1,1,1,1,1,4.0,S,S,6.0,S,4.0,20.0,4.0,4.0,2.0,,
132,3,1,1,1,1,3,,,,,,,,,,,,
133,10,1,1,6,48,1,4.0,,N,,,,,9.0,4.0,1.0,1.0,23.0
134,1,1,1,1,20,3,,,,,,,,,,,,
135,11,1,1,6,20,1,5.0,,N,,,,,4.0,4.0,2.0,2.0,17.0
136,10,1,1,1,48,1,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
137,10,1,1,6,48,2,2.0,,N,,,,,9.0,4.0,1.0,1.0,38.0
138,1,1,1,1,1,3,,,,,,,,,,,,
139,10,1,1,6,48,1,4.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
140,1,1,1,1,20,3,,,,,,,,,,,,
141,18,1,1,6,20,1,,,N,,,,,,,,,
142,11,1,3,6,20,2,5.0,,N,,,,,4.0,5.0,,,37.0
143,16,1,2,1,48,1,4.0,,N,,,,,2.0,4.0,2.0,,
144,9,1,1,6,48,1,2.0,,N,,,,,9.0,4.0,1.0,1.0,-0.0
145,9,1,1,6,48,2,2.0,,N,,,,,8.0,4.0,2.0,1.0,38.0
146,10,1,1,1,48,1,8.0,,N,,,,,4.0,4.0,2.0,1.0,-0.0
147,7,2,3,6,48,2,5.0,,N,,,,,4.0,4.0,2.0,,
148,15,1,2,6,48,1,7.0,,N,,,,,2.0,4.0,2.0,,
149,11,1,1,1,48,1,9.0,,N,,,,,8.0,4.0,2.0,1.0,22.0
150,10,1,1,1,1,1,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
151,6,2,3,1,20,2,2.0,,N,,,,,8.0,4.0,2.0,1.0,32.0
152,2,1,1,6,20,3,,,,,,,,,,,,
153,15,1,2,6,1,2,,,N,,,,,,,,,
154,3,1,1,1,1,3,,,,,,,,,,,,
155,15,1,1,6,20,2,6.0,,N,,,,,1.0,2.0,,,
156,16,1,1,6,48,2,7.0,,N,,,,,2.0,4.0,2.0,,
157,11,1,1,6,1,1,8.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
158,1,1,1,1,48,3,,,,,,,,,,,,
159,10,1,3,1,48,1,5.0,,N,,,,,4.0,4.0,2.0,1.0,39.0
160,13,1,1,6,20,2,,,N,,,,,,,,,
161,10,1,1,6,48,3,5.0,,N,,,,,9.0,4.0,2.0,1.0,38.0
162,10,1,1,6,48,3,5.0,S,S,6.0,S,7.0,49.0,10.0,4.0,2.0,,
163,5,1,1,6,48,3,,,N,,,,,,,,,
164,10,1,1,6,48,1,9.0,,N,,,,,8.0,4.0,2.0,1.0,37.0
165,12,1,1,6,48,1,2.0,,N,,,,,9.0,4.0,1.0,,
166,10,2,3,1,20,1,5.0,,N,,,,,4.0,1.0,,,40.0
167,11,1,2,6,48,2,5.0,,N,,,,,4.0,2.0,,,40.0
168,6,1,1,1,48,3,8.0,,N,,,,,4.0,4.0,2.0,1.0,39.0
169,8,1,3,1,20,2,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
170,4,1,1,6,48,3,,,N,,,,,,,,,
171,3,1,1,6,48,3,,,N,,,,,,,,,
172,12,1,1,6,20,2,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
173,3,1,1,6,1,3,,,,,,,,,,,,
174,16,1,1,6,48,2,7.0,,N,,,,,2.0,4.0,2.0,,
175,11,1,1,6,48,2,3.0,,N,,,,,8.0,4.0,2.0,1.0,39.0
176,9,1,1,1,20,1,8.0,,N,,,,,4.0,4.0,2.0,1.0,-0.0
177,4,1,1,6,20,3,,,N,,,,,,,,,
178,15,1,1,6,48,2,5.0,,N,,,,,4.0,4.0,2.0,,
179,1,1,1,1,1,3,,,,,,,,,,,,
180,2,1,1,1,20,3,,,,,,,,,,,,
181,10,1,1,1,1,1,5.0,S,S,3.0,S,7.0,5.0,4.0,4.0,2.0,1.0,22.0
182,2,1,1,6,1,3,,,,,,,,,,,,
183,16,1,1,1,20,1,1.0,,N,,,,,2.0,4.0,2.0,,
184,4,1,1,1,20,4,8.0,,N,,,,,2.0,4.0,2.0,,
185,17,1,2,1,20,1,8.0,,N,,,,,2.0,3.0,,,
186,4,1,1,6,1,3,,,N,,,,,,,,,
187,2,1,1,1,1,3,,,,,,,,,,,,
188,16,1,1,1,20,1,2.0,,N,,,,,9.0,4.0,2.0,,
189,15,1,1,6,20,2,5.0,,N,,,,,4.0,4.0,2.0,,
190,11,1,1,1,1,2,1.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
191,8,1,1,6,20,2,4.0,,N,,,,,9.0,4.0,2.0,1.0,40.0
192,11,1,1,1,20,2,7.0,,N,,,,,4.0,4.0,2.0,5.0,40.0
193,17,1,1,6,20,1,5.0,,N,,,,,8.0,2.0,,,
194,18,1,2,6,48,1,5.0,,N,,,,,4.0,5.0,,,
195,1,1,1,1,1,3,,,,,,,,,,,,
196,2,1,1,6,48,3,,,,,,,,,,,,
197,15,1,2,6,48,1,5.0,,N,,,,,4.0,2.0,,,
198,11,1,1,6,1,2,8.0,,N,,,,,2.0,4.0,2.0,,
199,12,1,1,6,48,2,4.0,,N,,,,,4.0,1.0,,,40.0
200,13,1,2,6,48,1,4.0,,N,,,,,2.0,4.0,2.0,,
201,10,1,1,6,20,1,3.0,,N,,,,,10.0,4.0,2.0,1.0,12.0
202,13,1,1,1,20,1,2.0,,N,,,,,9.0,4.0,2.0,,
203,15,1,1,6,20,1,5.0,,N,,,,,9.0,4.0,2.0,,
204,15,1,2,6,48,2,9.0,,N,,,,,10.0,2.0,,,
205,13,1,1,1,20,1,8.0,,N,,,,,4.0,4.0,2.0,,
206,14,1,2,1,48,1,7.0,,N,,,,,3.0,4.0,2.0,,
207,3,1,1,1,20,3,,,,,,,,,,,,
208,10,1,1,6,20,1,5.0,,N,,,,,4.0,4.0,2.0,1.0,43.0
209,13,1,1,1,20,1,8.0,,N,,,,,4.0,4.0,2.0,,
210,15,1,2,6,48,2,5.0,,N,,,,,4.0,4.0,2.0,,
211,10,1,1,1,48,1,7.0,,N,,,,,3.0,4.0,2.0,1.0,40.0
212,11,1,1,1,20,2,5.0,,N,,,,,9.0,4.0,2.0,1.0,35.0
213,13,1,1,6,20,1,3.0,,N,,,,,9.0,4.0,1.0,1.0,36.0
214,15,1,1,1,20,1,8.0,,N,,,,,4.0,2.0,,,
215,16,1,1,6,48,1,,,N,,,,,,,,,
216,10,1,2,6,1,1,9.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
217,2,1,1,6,48,3,,,,,,,,,,,,
218,16,1,1,6,48,2,4.0,,N,,,,,2.0,4.0,2.0,,
219,10,1,1,1,48,2,3.0,,N,,,,,2.0,4.0,2.0,1.0,24.0
220,14,1,1,6,20,1,5.0,,N,,,,,4.0,4.0,2.0,,
221,15,1,2,1,1,1,7.0,,N,,,,,2.0,4.0,2.0,,
222,12,1,1,6,20,2,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
223,8,1,1,1,1,1,2.0,,N,,,,,9.0,4.0,2.0,1.0,39.0
224,2,1,1,1,48,3,,,,,,,,,,,,
225,14,1,1,1,48,1,7.0,,N,,,,,3.0,2.0,,,40.0
226,17,1,1,1,20,1,9.0,,N,,,,,2.0,4.0,2.0,,
227,1,1,1,1,20,3,,,,,,,,,,,,
228,4,1,1,6,48,3,,,N,,,,,,,,,
229,11,1,1,1,1,1,4.0,S,S,6.0,S,7.0,14.0,2.0,4.0,2.0,,
230,14,1,2,1,1,1,7.0,,N,,,,,3.0,2.0,,,33.0
231,12,1,1,1,20,1,1.0,,N,,,,,8.0,2.0,,,40.0
232,11,1,1,1,20,2,2.0,,N,,,,,8.0,1.0,,,40.0
233,16,1,1,6,1,1,9.0,,N,,,,,8.0,4.0,2.0,,
234,1,1,1,1,48,3,,,,,,,,,,,,
235,15,1,1,6,48,1,3.0,,N,,,,,2.0,3.0,,,
236,8,2,3,6,48,1,5.0,S,S,6.0,S,6.0,22.0,9.0,4.0,2.0,,
237,17,1,1,1,20,1,9.0,,N,,,,,2.0,4.0,2.0,,
238,17,1,2,6,48,1,9.0,,N,,,,,2.0,4.0,2.0,,
239,9,1,1,1,1,4,,,N,,,,,,,,,
240,7,1,1,6,20,2,5.0,,N,,,,,9.0,4.0,1.0,1.0,38.0
241,13,1,1,1,48,1,2.0,,N,,,,,4.0,2.0,,,40.0
242,8,1,1,6,20,1,2.0,,N,,,,,9.0,4.0,2.0,1.0,18.0
243,7,1,1,1,48,3,5.0,S,S,4.0,S,5.0,3.0,8.0,4.0,2.0,4.0,21.0
244,10,1,1,6,48,1,2.0,,N,,,,,9.0,4.0,1.0,1.0,35.0
245,10,1,1,6,48,1,3.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
246,10,1,1,6,48,1,5.0,,N,,,,,4.0,4.0,2.0,1.0,42.0
247,14,1,2,1,1,1,5.0,,N,,,,,9.0,4.0,1.0,,
248,7,1,1,1,48,3,2.0,,N,,,,,8.0,4.0,2.0,1.0,40.0
249,5,1,1,6,20,3,,,N,,,,,,,,,
250,5,1,1,6,20,3,4.0,,N,,,,,4.0,4.0,2.0,1.0,9.0
251,11,1,1,1,48,1,5.0,,N,,,,,4.0,3.0,,,57.0
252,8,1,1,1,48,1,8.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
253,11,1,3,1,20,1,8.0,,N,,,,,4.0,4.0,2.0,,
254,14,1,1,1,48,1,7.0,,N,,,,,3.0,2.0,,,40.0
255,2,1,1,1,20,3,,,,,,,,,,,,
256,4,1,1,1,20,3,,,N,,,,,,,,,
257,15,1,2,1,48,2,8.0,,N,,,,,2.0,4.0,2.0,,
258,10,2,3,1,1,1,8.0,S,S,6.0,S,1.0,8.0,2.0,4.0,2.0,,
259,6,1,1,1,20,3,2.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
260,12,1,2,6,48,2,2.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
261,14,1,1,1,48,1,4.0,,N,,,,,6.0,4.0,2.0,,
262,9,1,1,1,20,1,2.0,,N,,,,,10.0,4.0,2.0,1.0,40.0
263,5,1,1,6,20,3,4.0,,N,,,,,8.0,4.0,2.0,3.0,16.0
264,9,1,1,1,1,1,5.0,,N,,,,,4.0,1.0,,,38.0
265,9,1,1,1,48,3,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
266,14,1,1,1,1,1,2.0,,N,,,,,9.0,4.0,1.0,,
267,14,1,1,1,20,1,2.0,,N,,,,,9.0,4.0,1.0,,
268,16,1,1,6,48,1,9.0,,N,,,,,2.0,4.0,2.0,,
269,1,1,1,1,48,3,,,,,,,,,,,,
270,2,2,3,1,20,4,,,,,,,,,,,,
271,2,2,3,6,1,3,,,,,,,,,,,,
272,3,1,1,1,48,3,,,,,,,,,,,,
273,14,1,2,1,48,1,2.0,,N,,,,,8.0,4.0,2.0,,
274,4,1,1,1,20,3,9.0,,N,,,,,2.0,4.0,2.0,,
275,9,1,1,6,48,2,2.0,,N,,,,,9.0,4.0,2.0,5.0,39.0
276,2,1,1,6,48,3,,,,,,,,,,,,
277,1,1,1,6,1,3,,,,,,,,,,,,
278,3,1,1,6,1,3,,,N,,,,,,,,,
279,1,1,1,6,48,3,,,,,,,,,,,,
280,7,1,1,6,48,2,5.0,S,S,3.0,S,7.0,5.0,4.0,4.0,2.0,5.0,25.0
281,15,1,2,1,20,1,8.0,,N,,,,,2.0,4.0,2.0,,
282,12,1,1,1,20,2,5.0,,N,,,,,4.0,2.0,,,40.0
283,13,1,1,6,1,2,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
284,4,1,1,1,1,3,,,N,,,,,,,,,
285,14,1,1,1,20,2,7.0,,N,,,,,3.0,4.0,2.0,,
286,16,1,1,6,20,2,4.0,,N,,,,,1.0,2.0,,,
287,16,1,2,6,48,2,,,N,,,,,,,,,
288,18,1,1,6,20,1,9.0,,N,,,,,10.0,4.0,2.0,,
289,3,1,1,6,1,3,,,,,,,,,,,,
290,4,1,1,6,20,3,,,N,,,,,,,,,
291,16,1,1,6,20,2,9.0,,N,,,,,10.0,2.0,,,
292,9,1,1,1,20,1,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
293,10,2,3,6,20,1,5.0,,N,,,,,10.0,4.0,2.0,,
294,12,1,1,6,48,2,4.0,,N,,,,,4.0,4.0,2.0,,
295,11,1,1,6,48,2,5.0,,N,,,,,10.0,4.0,2.0,1.0,20.0
296,12,1,2,6,1,2,2.0,,N,,,,,10.0,4.0,2.0,1.0,10.0
297,12,1,1,1,20,1,2.0,,N,,,,,2.0,1.0,,,40.0
298,18,1,1,6,20,1,9.0,,N,,,,,10.0,4.0,2.0,,
299,5,1,1,1,48,3,3.0,,N,,,,,10.0,4.0,2.0,5.0,14.0
300,10,1,2,1,48,1,2.0,,N,,,,,8.0,2.0,,,40.0
301,11,1,1,1,1,1,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
302,2,2,1,6,48,3,,,,,,,,,,,,
303,3,1,1,6,48,3,,,,,,,,,,,,
304,14,1,2,1,48,1,7.0,,N,,,,,3.0,4.0,2.0,,
305,9,1,3,6,1,4,,,N,,,,,,,,,
306,12,1,2,6,48,2,4.0,,N,,,,,9.0,4.0,1.0,1.0,39.0
307,12,1,1,1,20,1,1.0,,N,,,,,8.0,1.0,,,38.0
308,10,1,1,6,1,2,5.0,,N,,,,,4.0,4.0,2.0,,
309,12,1,1,1,48,1,7.0,,N,,,,,8.0,4.0,2.0,1.0,18.0
310,15,1,1,1,48,2,3.0,,N,,,,,3.0,4.0,2.0,,
311,10,1,2,1,1,1,4.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
312,11,1,2,1,1,2,3.0,,N,,,,,4.0,4.0,2.0,1.0,39.0
313,12,1,1,1,20,4,2.0,,N,,,,,10.0,4.0,2.0,1.0,40.0
314,12,1,2,6,1,2,5.0,,N,,,,,7.0,5.0,,,40.0
315,5,1,1,6,1,3,2.0,,N,,,,,8.0,4.0,2.0,1.0,20.0
316,2,1,1,1,48,3,,,,,,,,,,,,
317,7,1,1,6,48,1,3.0,,N,,,,,9.0,4.0,2.0,1.0,40.0
318,6,1,1,1,48,3,5.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
319,14,1,2,6,20,2,5.0,,N,,,,,4.0,2.0,,,
320,11,1,1,6,20,2,2.0,,N,,,,,10.0,2.0,,,3.0
321,9,1,1,1,48,1,3.0,,N,,,,,8.0,4.0,2.0,1.0,38.0
322,10,1,2,1,48,2,1.0,,N,,,,,3.0,4.0,2.0,1.0,40.0
323,6,2,3,6,48,2,,,N,,,,,,,,,
324,15,1,2,1,48,1,4.0,,N,,,,,2.0,4.0,2.0,,
325,5,1,1,6,48,3,3.0,,N,,,,,2.0,4.0,2.0,5.0,40.0
326,10,1,1,1,20,1,7.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
327,5,1,1,6,48,3,,S,S,6.0,S,5.0,10.0,,,,,
328,3,1,1,1,1,3,,,,,,,,,,,,
329,10,1,1,1,48,2,4.0,S,S,6.0,S,1.0,42.0,3.0,4.0,2.0,,
330,16,1,2,6,48,1,9.0,,N,,,,,8.0,4.0,2.0,,
331,10,1,1,6,48,1,3.0,,N,,,,,10.0,4.0,2.0,1.0,-0.0
332,8,1,2,6,1,2,4.0,,N,,,,,9.0,4.0,1.0,5.0,17.0
333,12,1,3,6,1,2,4.0,,N,,,,,4.0,4.0,2.0,,
334,10,1,1,1,48,1,4.0,S,S,6.0,S,2.0,31.0,3.0,4.0,2.0,,
335,12,1,1,6,1,1,9.0,S,S,6.0,S,4.0,19.0,10.0,4.0,2.0,,
336,1,1,1,6,48,3,,,,,,,,,,,,
337,11,1,1,1,48,1,8.0,,N,,,,,4.0,4.0,2.0,,
338,14,1,2,6,20,2,7.0,,N,,,,,2.0,4.0,2.0,,
339,12,1,1,6,48,2,2.0,,N,,,,,9.0,4.0,2.0,1.0,38.0
340,3,1,1,1,48,3,,,,,,,,,,,,
341,15,1,1,6,48,2,2.0,,N,,,,,9.0,4.0,1.0,,
342,9,1,1,6,48,2,2.0,,N,,,,,8.0,4.0,2.0,1.0,-0.0
343,2,1,1,1,48,3,,,,,,,,,,,,
344,16,1,2,1,48,1,3.0,,N,,,,,2.0,4.0,2.0,,
345,17,1,1,6,20,1,5.0,,N,,,,,4.0,2.0,,,
346,14,1,2,6,48,2,7.0,,N,,,,,4.0,2.0,,,
347,3,1,1,6,48,3,,,,,,,,,,,,
348,2,1,1,6,48,3,,,,,,,,,,,,
349,9,1,1,1,1,1,3.0,,N,,,,,4.0,4.0,2.0,1.0,39.0
350,11,1,1,1,20,2,8.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
351,17,1,2,6,48,1,9.0,,N,,,,,10.0,4.0,2.0,,
352,15,1,2,6,48,1,9.0,,N,,,,,8.0,4.0,2.0,,
353,9,1,1,6,20,1,2.0,,N,,,,,9.0,4.0,2.0,5.0,40.0
354,15,1,1,1,48,1,8.0,,N,,,,,4.0,2.0,,,
355,10,2,3,1,48,1,9.0,S,S,6.0,S,7.0,40.0,9.0,4.0,2.0,,
356,18,1,2,1,48,1,9.0,,N,,,,,2.0,4.0,2.0,,
357,12,1,1,6,20,1,5.0,,N,,,,,4.0,4.0,2.0,1.0,-0.0
358,9,1,1,1,1,1,4.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
