"rowid","household_number","survey_year","reference_quarter","province","capital","sex","place_birth","age","nationality","formal_educ_system","professional_training","retirement_status","household_duties","part-time_empl","reason_reduced_work","search_work","search_reason","JORB","search_steps","search_method","search_months","availability","relation_to_activity1","relation_to_activity2","main_occupation","main_activity","main_prof_situation","main_sector","contract_type","hours","relationship","elevator","matricule"
32,13,2023,1,1,9,6,3,8,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,5,40,1,"50.1876","32_13"
33,13,2023,1,1,9,1,3,7,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,1,40,2,"77.3226","33_13"
34,14,2023,1,48,9,6,1,6,1,"S","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,7,4,2,5,40,1,"241.6927","34_14"
35,14,2023,1,48,9,1,1,6,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,4,4,2,1,40,2,"228.8175","35_14"
36,15,2023,1,48,9,6,1,14,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,2,"101.0305","36_15"
37,15,2023,1,48,9,1,1,15,1,"N","N",2,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,5,4,2,NA,NA,NA,1,"101.0545","37_15"
38,16,2023,1,20,3,1,2,7,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,9,4,1,5,37,2,"159.2735","38_16"
39,16,2023,1,20,3,6,2,7,1,"N","N",4,2,1,2,"N",NA,NA,"",NA,NA,"",1,2,1,9,4,1,1,38,1,"177.1565","39_16"
40,17,2023,1,20,9,6,2,14,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,10,2,NA,NA,NA,1,"149.4131","40_17"
41,18,2023,1,1,9,1,1,16,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,1,"54.3972","41_18"
42,18,2023,1,1,9,6,1,16,1,"N","N",4,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,NA,NA,NA,NA,NA,NA,2,"57.0694","42_18"
43,19,2023,1,1,9,6,1,4,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"63.4501","43_19"
44,19,2023,1,1,9,1,1,11,1,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,8,2,4,2,1,32,1,"63.9276","44_19"
45,19,2023,1,1,9,6,1,10,1,"N","N",3,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,4,3,NA,NA,NA,2,"59.4759","45_19"
46,20,2023,1,48,9,6,1,5,1,"S","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,3,5,4,4,2,5,8,3,"210.8849","46_20"
47,20,2023,1,48,9,1,2,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,8,4,2,1,40,1,"226.3901","47_20"
48,20,2023,1,48,9,1,1,4,1,"N","S",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,NA,NA,NA,NA,NA,NA,3,"228.5907","48_20"
49,20,2023,1,48,9,6,1,10,1,"S","S",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,10,2,NA,NA,NA,2,"222.1559","49_20"
50,21,2023,1,1,9,1,2,16,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,9,4,2,NA,NA,1,"54.8017","50_21"
51,21,2023,1,1,9,6,2,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,2,4,2,NA,NA,2,"57.4937","51_21"
52,22,2023,1,48,1,6,1,11,1,"N","S",3,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,3,4,4,2,NA,NA,1,"197.511","52_22"
53,22,2023,1,48,1,6,1,6,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,2,2,4,2,NA,NA,3,"291.599","53_22"
54,23,2023,1,20,9,1,1,11,1,"N","N",4,1,1,5,"N",NA,NA,"",NA,NA,"",1,2,7,3,2,NA,NA,8,1,"201.4229","54_23"
55,24,2023,1,48,9,6,1,11,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,1,1,20,2,"169.8202","55_24"
56,24,2023,1,48,9,6,2,17,1,"N","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,NA,NA,NA,NA,NA,NA,1,"291.8609","56_24"
57,25,2023,1,48,9,1,1,11,1,"N","N",4,1,NA,NA,"S",6,1,"S",5,18,"S",2,5,7,3,4,2,NA,NA,1,"250.6614","57_25"
58,25,2023,1,48,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"232.0217","58_25"
59,25,2023,1,48,9,6,1,9,1,"N","N",4,1,NA,NA,"S",6,3,"S",7,48,"S",2,5,5,9,4,2,NA,NA,2,"246.878","59_25"
60,25,2023,1,48,9,6,1,1,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"231.5482","60_25"
61,26,2023,1,1,9,6,3,9,2,"N","N",4,1,2,2,"S",3,2,"S",7,3,"S",1,3,9,6,4,2,1,1,2,"25.7944","61_26"
62,26,2023,1,1,9,6,3,4,1,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"20.6726","62_26"
63,26,2023,1,1,9,1,3,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,1,40,1,"20.7236","63_26"
64,26,2023,1,1,9,1,3,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"18.6623","64_26"
65,27,2023,1,20,9,6,1,5,1,"S","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,3,2,9,4,2,5,2,2,"129.8286","65_27"
66,27,2023,1,20,9,1,1,7,1,"S","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,2,NA,NA,35,1,"160.3225","66_27"
67,28,2023,1,1,9,1,2,14,1,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,1,2,4,2,1,24,1,"25.3114","67_28"
68,29,2023,1,20,9,6,1,12,1,"N","N",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,4,9,4,1,1,29,1,"169.7318","68_29"
69,30,2023,1,48,9,6,2,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,1,"185.8512","69_30"
70,31,2023,1,48,1,6,1,11,1,"N","S",4,2,1,2,"S",2,1,"S",5,76,"S",1,2,4,9,4,1,5,40,1,"201.0085","70_31"
71,32,2023,1,1,9,6,1,4,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"56.7618","71_32"
72,32,2023,1,1,9,1,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,2,4,2,1,40,1,"56.7847","72_32"
73,32,2023,1,1,9,1,1,3,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"51.787","73_32"
74,32,2023,1,1,9,6,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,1,NA,NA,40,2,"57.2506","74_32"
75,33,2023,1,20,9,1,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,9,8,4,2,1,40,2,"161.559","75_33"
76,33,2023,1,20,9,1,1,5,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,3,NA,NA,30,3,"193.6346","76_33"
77,33,2023,1,20,9,6,1,10,1,"N","N",4,1,2,2,"S",4,2,"S",5,11,"N",1,2,5,4,4,2,1,30,1,"150.7651","77_33"
78,34,2023,1,1,9,6,3,5,1,"N","N",4,1,NA,NA,"S",6,2,"S",5,5,"S",2,5,5,10,4,2,NA,NA,2,"78.3535","78_34"
79,34,2023,1,1,9,1,1,7,1,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,1,32,1,"94.9303","79_34"
80,35,2023,1,1,2,6,2,13,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,10,4,2,NA,NA,1,"158.4393","80_35"
81,36,2023,1,48,1,6,2,18,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,1,"178.1755","81_36"
82,37,2023,1,48,1,6,2,14,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,10,4,2,NA,NA,2,"161.1698","82_37"
83,37,2023,1,48,1,1,2,15,1,"N","N",2,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,7,2,4,2,NA,NA,4,"161.2081","83_37"
84,37,2023,1,48,1,1,2,14,1,"N","S",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,4,2,NA,NA,NA,1,"161.2081","84_37"
85,38,2023,1,48,9,1,1,7,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,2,4,2,1,40,1,"245.4833","85_38"
86,38,2023,1,48,9,6,1,6,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,4,4,2,1,40,2,"261.4514","86_38"
87,39,2023,1,1,2,6,2,18,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,2,4,2,NA,NA,1,"346.3953","87_39"
88,39,2023,1,1,2,1,2,13,1,"N","N",4,1,2,5,"N",NA,NA,"",NA,NA,"",1,2,8,2,4,2,5,0,3,"161.9107","88_39"
89,39,2023,1,1,2,6,2,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,9,9,4,1,5,42,3,"166.8448","89_39"
90,40,2023,1,48,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"161.3453","90_40"
91,40,2023,1,48,9,1,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,5,35,1,"168.7488","91_40"
92,40,2023,1,48,9,6,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"161.0161","92_40"
93,40,2023,1,48,9,6,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,5,35,2,"148.6066","93_40"
94,41,2023,1,1,2,1,2,16,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,1,"129.4015","94_41"
95,41,2023,1,1,2,6,2,15,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,2,"135.758","95_41"
96,42,2023,1,48,9,6,1,9,1,"N","N",4,1,NA,NA,"S",6,2,"S",7,21,"S",2,5,4,8,4,2,NA,NA,2,"297.1633","96_42"
97,42,2023,1,48,9,6,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"231.0593","97_42"
98,42,2023,1,48,9,6,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"231.0593","98_42"
99,42,2023,1,48,9,1,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,1,5,4,2,NA,NA,45,1,"280.4815","99_42"
100,43,2023,1,1,2,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"185.8446","100_43"
101,43,2023,1,1,2,1,1,9,1,"N","N",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,2,2,4,2,1,0,1,"223.2199","101_43"
102,43,2023,1,1,2,6,2,9,1,"N","N",4,1,2,3,"N",NA,NA,"",NA,NA,"",1,2,2,6,4,2,1,0,2,"196.4724","102_43"
103,43,2023,1,1,2,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"185.8446","103_43"
104,44,2023,1,20,3,1,2,16,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,1,"117.4155","104_44"
105,45,2023,1,20,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"139.3112","105_45"
106,45,2023,1,20,9,1,1,10,1,"N","N",4,1,1,4,"N",NA,NA,"",NA,NA,"",1,2,3,4,4,2,1,32,1,"151.2336","106_45"
107,46,2023,1,20,9,6,3,6,2,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,1,"210.8785","107_46"
108,46,2023,1,20,9,6,3,2,2,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"167.4759","108_46"
109,46,2023,1,20,9,6,1,1,1,"N","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"135.5334","109_46"
110,47,2023,1,20,9,1,1,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,2,4,2,NA,NA,1,"137.1317","110_47"
111,48,2023,1,20,9,6,1,8,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,1,5,9,4,1,1,64,1,"189.1604","111_48"
112,49,2023,1,48,9,6,1,6,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,1,40,1,"302.4","112_49"
113,50,2023,1,1,2,6,1,18,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,6,1,5,NA,NA,NA,2,"138.5928","113_50"
114,50,2023,1,1,2,1,1,18,1,"N","N",2,4,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,7,2,4,2,NA,NA,1,"132.1036","114_50"
115,51,2023,1,1,2,1,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,2,1,40,2,"230.0862","115_51"
116,51,2023,1,1,2,1,1,1,1,"N","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"191.5612","116_51"
117,51,2023,1,1,2,6,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"204.0469","117_51"
118,51,2023,1,1,2,6,1,9,1,"N","N",4,1,2,2,"N",NA,NA,"",NA,NA,"",1,2,4,2,4,2,1,30,1,"202.5159","118_51"
119,52,2023,1,48,9,1,1,13,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,1,"229.4985","119_52"
120,53,2023,1,48,9,6,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,2,4,2,1,40,1,"219.5371","120_53"
121,53,2023,1,48,9,6,1,4,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"250.9485","121_53"
122,53,2023,1,48,9,1,1,11,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,1,40,2,"249.2932","122_53"
123,53,2023,1,48,9,6,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"234.3285","123_53"
124,54,2023,1,48,9,1,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,7,2,4,2,1,40,1,"218.4701","124_54"
125,54,2023,1,48,9,1,1,6,1,"S","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,2,2,5,NA,NA,NA,4,"280.5935","125_54"
126,54,2023,1,48,9,6,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,4,4,2,1,40,2,"210.2353","126_54"
127,55,2023,1,48,1,6,1,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,2,9,4,1,NA,NA,1,"273.8131","127_55"
128,55,2023,1,48,1,1,1,6,1,"N","S",4,2,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,2,4,2,1,40,3,"230.0768","128_55"
129,55,2023,1,48,1,6,1,7,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,1,35,3,"241.1633","129_55"
130,56,2023,1,1,2,1,1,8,1,"N","N",4,1,1,5,"N",NA,NA,"",NA,NA,"",1,2,5,9,4,1,5,28,1,"218.2267","130_56"
131,57,2023,1,20,3,1,1,11,1,"N","N",4,1,1,5,"N",NA,NA,"",NA,NA,"",1,2,1,4,2,NA,NA,0,1,"159.5466","131_57"
132,58,2023,1,48,9,1,1,9,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,2,4,2,1,40,1,"123.6841","132_58"
133,59,2023,1,20,9,6,1,11,1,"N","S",4,1,2,5,"N",NA,NA,"",NA,NA,"",1,2,5,9,4,1,5,0,2,"146.6441","133_59"
134,59,2023,1,20,9,6,1,4,1,"S","S",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"157.3695","134_59"
135,59,2023,1,20,9,6,1,5,1,"S","N",4,2,2,2,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,5,20,3,"151.9618","135_59"
136,59,2023,1,20,9,1,2,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,8,2,NA,NA,40,1,"167.9286","136_59"
137,60,2023,1,20,3,6,1,8,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,1,2,9,4,1,5,60,1,"174.4885","137_60"
138,61,2023,1,20,3,6,2,11,1,"N","N",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,1,12,1,"151.7814","138_61"
139,61,2023,1,20,3,1,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,1,4,4,2,1,40,2,"150.9544","139_61"
140,61,2023,1,20,3,6,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"153.2335","140_61"
141,61,2023,1,20,3,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"139.054","141_61"
142,62,2023,1,1,2,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"214.8674","142_62"
143,62,2023,1,1,2,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"214.8674","143_62"
144,62,2023,1,1,2,1,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,8,2,4,2,1,40,2,"260.0697","144_62"
145,62,2023,1,1,2,1,1,4,1,"S","S",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"217.153","145_62"
146,62,2023,1,1,2,6,1,10,1,"N","N",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,1,9,4,2,1,0,1,"227.0865","146_62"
147,63,2023,1,20,9,6,1,8,1,"N","N",4,1,1,3,"N",NA,NA,"",NA,NA,"",1,2,5,4,4,2,1,0,2,"163.0576","147_63"
148,63,2023,1,20,9,1,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,1,4,4,2,1,40,1,"179.7934","148_63"
149,63,2023,1,20,9,1,1,1,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"142.1404","149_63"
150,64,2023,1,48,9,6,1,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,6,3,NA,NA,40,2,"208.6902","150_64"
151,64,2023,1,48,9,1,1,5,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,4,4,5,NA,NA,NA,3,"274.8422","151_64"
152,64,2023,1,48,9,1,1,12,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,1,1,4,2,1,40,1,"179.7654","152_64"
153,65,2023,1,1,2,6,1,10,1,"S","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,9,4,1,5,35,2,"199.6718","153_65"
154,65,2023,1,1,2,6,1,4,1,"S","N",4,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,3,"209.3262","154_65"
155,65,2023,1,1,2,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"188.97","155_65"
156,65,2023,1,1,2,1,1,11,1,"N","S",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,2,4,2,1,40,1,"210.9016","156_65"
157,66,2023,1,1,2,1,2,15,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,3,9,4,1,NA,NA,1,"126.81","157_66"
158,66,2023,1,1,2,6,2,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,5,4,4,2,NA,NA,2,"133.0392","158_66"
159,67,2023,1,20,9,6,2,15,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,4,4,2,NA,NA,1,"132.6992","159_67"
