dataset,combination_id,number_of_shared_variables,total_number_variables,ava_ori,distance,linkage_algo,contribution_score1,unicity_score1,contribution_score2,unicity_score2,correlation_difference_sum,correlation_difference_mean,correlation_difference_std,correlation_difference_max,reconstruction_difference_sum,reconstruction_difference_mean,reconstruction_difference_std,reconstruction_difference_max,hr1,hr2,hr_linked
student_dropout,1,4,37,avatars,row_order,lsa,0.21476607346418944,0.11256781193490054,0.16579750889873224,0.08114828209764918,79.57661141877736,0.02379683355824682,0.024663345405689853,0.9088035074033783,187.10819691419601,0.0422939,0.034032322,0.24202606,90.03,91.05,94.12
student_dropout,1,4,37,avatars,random,lsa,0.21476607346418944,0.11256781193490054,0.16579750889873224,0.08114828209764918,118.53035907949106,0.03544568154291001,0.03564838621576138,1.000099743476723,219.80397861078382,0.049684446,0.038665093,0.27312735,90.03,91.05,98.96
student_dropout,1,4,37,original,gower,lsa,0.2146650498667608,0.09109403254972875,0.17454202857474874,0.09109403254972875,110.21163513138785,0.02330055711022999,0.025629880077166548,0.9602393897247865,130.26210635900497,0.029444417,0.026377138,0.26090997,,,94.46
student_dropout,1,4,37,original,proj_eucl_all_source,lsa,0.2146650498667608,0.09109403254972875,0.17454202857474874,0.09109403254972875,80.23691466087739,0.01696340690504807,0.020645709981582924,0.8203987019007885,111.87132495641708,0.02528737,0.023369221,0.2606541,,,92.29
student_dropout,1,4,37,original,row_order,lsa,0.2146650498667608,0.09109403254972875,0.17454202857474874,0.09109403254972875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,75.9
student_dropout,1,4,37,original,random,lsa,0.2146650498667608,0.09109403254972875,0.17454202857474874,0.09109403254972875,139.994961316041,0.02959724340719683,0.03036128004423671,1.0068529523327856,141.98352898284793,0.032093927,0.026769051,0.19027466,,,98.01
student_dropout,2,8,37,avatars,gower,lsa,0.3858201998851573,1.0,0.34331048332435643,1.0,79.12540399973025,0.03355615097528849,0.02737784678429931,0.4880218986146765,209.03827422112226,0.047250964,0.036310516,0.25886694,90.89,92.13,98.85
student_dropout,2,8,37,avatars,proj_eucl_all_source,lsa,0.3858201998851573,1.0,0.34331048332435643,1.0,62.159297383041675,0.026361025183647867,0.02204478469513578,0.3767321078527768,214.9003647491336,0.04857603,0.037641812,0.23640619,90.89,92.13,98.71
student_dropout,2,8,37,avatars,row_order,lsa,0.3858201998851573,1.0,0.34331048332435643,1.0,58.71915053329556,0.024902099462805576,0.02015282980190096,0.3136269711954942,197.4428629502654,0.044629943,0.034624577,0.21876046,90.89,92.13,97.63
student_dropout,2,8,37,avatars,random,lsa,0.3858201998851573,1.0,0.34331048332435643,1.0,95.50239586708675,0.0405014401471954,0.034270031460352346,0.6417099493274158,218.32138023152947,0.04934932,0.037504222,0.29288667,90.89,92.13,99.19
student_dropout,2,8,37,original,gower,lsa,0.38634512053880804,0.9984177215189873,0.33749287957214097,0.9984177215189873,67.79337927242749,0.022965236880903624,0.019681222514487753,0.3672274650972732,95.5317923873663,0.021593988,0.026087955,0.20930728,,,97.45
student_dropout,2,8,37,original,proj_eucl_all_source,lsa,0.38634512053880804,0.9984177215189873,0.33749287957214097,0.9984177215189873,0.48842176411577964,0.00016545452713949174,0.00030627635927494044,0.043288926029738044,0.314361322671175,7.1058166e-05,0.001108581,0.055060074,,,95.34
student_dropout,2,8,37,original,row_order,lsa,0.38634512053880804,0.9984177215189873,0.33749287957214097,0.9984177215189873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,95.32
student_dropout,2,8,37,original,random,lsa,0.38634512053880804,0.9984177215189873,0.33749287957214097,0.9984177215189873,105.27107415964832,0.035660932980910685,0.030405052706617794,0.6484383886778152,139.30849551409483,0.031489264,0.026316546,0.18919708,,,98.71
student_dropout,3,8,37,avatars,gower,lsa,0.33648462460671824,0.9995479204339964,0.2739961732728837,0.9312839059674503,74.73320319023625,0.029573883336065,0.03032930477829225,1.0111266336056492,222.39422238990664,0.050269943,0.038916796,0.3012677,91.57,91.73,99.21
student_dropout,3,8,37,avatars,proj_eucl_all_source,lsa,0.33648462460671824,0.9995479204339964,0.2739961732728837,0.9312839059674503,65.40643076122356,0.025883035520864094,0.025248052175658637,0.8656158272290704,212.1326259560883,0.047950413,0.037430502,0.23638846,91.57,91.73,98.98
student_dropout,3,8,37,avatars,row_order,lsa,0.33648462460671824,0.9995479204339964,0.2739961732728837,0.9312839059674503,70.90908717521535,0.028060580599610353,0.027501545377983334,0.9487648594442581,196.49022202938795,0.044414606,0.034951743,0.24852285,91.57,91.73,96.32
student_dropout,3,8,37,avatars,random,lsa,0.33648462460671824,0.9995479204339964,0.2739961732728837,0.9312839059674503,88.14739709938608,0.03488223074767949,0.03618888576648303,1.0111266336056495,218.5885370746255,0.049409702,0.03788264,0.26390925,91.57,91.73,99.37
student_dropout,3,8,37,original,gower,lsa,0.33827514228051697,0.8318264014466547,0.2769848246095288,0.8318264014466547,69.61155120771338,0.0213009642618462,0.022045267652278263,0.6246217389471919,92.93053992837667,0.021006,0.02324137,0.23946235,,,95.98
student_dropout,3,8,37,original,proj_eucl_all_source,lsa,0.33827514228051697,0.8318264014466547,0.2769848246095288,0.8318264014466547,11.465309074460704,0.003508356509932895,0.0042402500049529245,0.1305179753024016,16.892156090587378,0.003818299,0.011484196,0.16841865,,,91.95
student_dropout,3,8,37,original,row_order,lsa,0.33827514228051697,0.8318264014466547,0.2769848246095288,0.8318264014466547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,91.34
student_dropout,3,8,37,original,random,lsa,0.33827514228051697,0.8318264014466547,0.2769848246095288,0.8318264014466547,101.2264850505068,0.030975056625002082,0.032581701265775094,1.0161756648543856,147.38545654714108,0.033314977,0.029532429,0.21029496,,,97.58
student_dropout,4,3,37,avatars,gower,lsa,0.17161338315463373,0.1871609403254973,0.16338981446045364,0.18354430379746836,129.76677899119684,0.03545540409595541,0.03543108312200426,1.007188993568259,213.4248663932085,0.04824251,0.036889132,0.25772214,91.37,87.93,98.89
student_dropout,4,3,37,avatars,proj_eucl_all_source,lsa,0.17161338315463373,0.1871609403254973,0.16338981446045364,0.18354430379746836,116.31334810527929,0.03177960330745336,0.03277214518032685,1.0193465270338464,199.41695415228605,0.045076165,0.035178665,0.27595508,91.37,87.93,98.76
student_dropout,4,3,37,avatars,row_order,lsa,0.17161338315463373,0.1871609403254973,0.16338981446045364,0.18354430379746836,89.75526834025601,0.02452329736072568,0.02498569942784061,0.9585588597059096,189.78133754059672,0.042898133,0.033821177,0.35050476,91.37,87.93,97.17
student_dropout,4,3,37,avatars,random,lsa,0.17161338315463373,0.1871609403254973,0.16338981446045364,0.18354430379746836,137.39855631384017,0.03754058915678692,0.03625829943902499,0.9707163931714967,213.74501303583384,0.04831488,0.037089884,0.29036742,91.37,87.93,99.07
student_dropout,4,3,37,original,gower,lsa,0.1686023613725241,0.07911392405063292,0.1753285911829347,0.07911392405063292,130.39486811867465,0.026941088454271622,0.02894075822969743,0.9322712521599869,128.18663305602968,0.028975278,0.025520464,0.23287162,,,96.32
student_dropout,4,3,37,original,proj_eucl_all_source,lsa,0.1686023613725241,0.07911392405063292,0.1753285911829347,0.07911392405063292,101.59860840496296,0.02099144801755433,0.0259123431287074,0.922948539638387,114.92771551385522,0.025978237,0.024615923,0.2208862,,,95.89
student_dropout,4,3,37,original,row_order,lsa,0.1686023613725241,0.07911392405063292,0.1753285911829347,0.07911392405063292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,90.89
student_dropout,4,3,37,original,random,lsa,0.1686023613725241,0.07911392405063292,0.1753285911829347,0.07911392405063292,154.64395782607875,0.03195123095580139,0.03206193203238473,0.9882075272895857,142.35376638174057,0.032177612,0.027082171,0.22547938,,,98.01
student_dropout,5,3,37,avatars,gower,lsa,0.16317798266073222,0.8973779385171791,0.16504828043702768,0.9093580470162749,105.99747004148145,0.029608231855162412,0.02865431520096215,1.0150592650401424,217.6024786606431,0.04918682,0.0380135,0.33815372,89.9,88.27,98.94
student_dropout,5,3,37,avatars,proj_eucl_all_source,lsa,0.16317798266073222,0.8973779385171791,0.16504828043702768,0.9093580470162749,97.37831473187914,0.027200646573150595,0.02701842518264773,0.9839999696846234,215.68624882027507,0.04875367,0.03802235,0.28431338,89.9,88.27,99.07
student_dropout,5,3,37,avatars,row_order,lsa,0.16317798266073222,0.8973779385171791,0.16504828043702768,0.9093580470162749,92.40937289934254,0.025812673994229762,0.025002258748163832,0.9684703220068639,189.0048606544733,0.04272262,0.03322261,0.3144064,89.9,88.27,95.64
student_dropout,5,3,37,avatars,random,lsa,0.16317798266073222,0.8973779385171791,0.16504828043702768,0.9093580470162749,126.68385805284913,0.03538655252872881,0.03178739545468886,0.9995296173623828,214.520586874336,0.048490185,0.03779384,0.32850975,89.9,88.27,99.23
student_dropout,5,3,37,original,gower,lsa,0.16015200356567855,0.3092224231464738,0.18080540170316495,0.3092224231464738,105.59706138004717,0.021817574665299003,0.022627994785697672,0.8856576895519879,104.19664947502315,0.02355259,0.023452548,0.20634958,,,93.15
student_dropout,5,3,37,original,proj_eucl_all_source,lsa,0.16015200356567855,0.3092224231464738,0.18080540170316495,0.3092224231464738,51.35425140902708,0.010610382522526258,0.014665647436416641,0.671235301555191,65.43102061375976,0.014790014,0.018612273,0.13047826,,,89.13
student_dropout,5,3,37,original,row_order,lsa,0.16015200356567855,0.3092224231464738,0.18080540170316495,0.3092224231464738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,86.6
student_dropout,5,3,37,original,random,lsa,0.16015200356567855,0.3092224231464738,0.18080540170316495,0.3092224231464738,145.7494790302212,0.030113528725252317,0.028501026755533825,0.9882075272895856,129.83212870545685,0.029347228,0.024804356,0.21556231,,,97.54
student_dropout,6,2,37,avatars,gower,lsa,0.11888839957550958,0.01198010849909584,0.09982084748869886,0.013788426763110307,133.38768345413325,0.03277338659806713,0.0329202663736418,1.0046647440221672,210.0373365804553,0.047476795,0.036497276,0.24012172,91.77,88.7,99.16
student_dropout,6,2,37,avatars,proj_eucl_all_source,lsa,0.11888839957550958,0.01198010849909584,0.09982084748869886,0.013788426763110307,123.54890938777663,0.030355997392574108,0.031276259467919336,1.0178259860847099,207.51419012993574,0.046906464,0.03690556,0.28590316,91.77,88.7,98.71
student_dropout,6,2,37,avatars,row_order,lsa,0.11888839957550958,0.01198010849909584,0.09982084748869886,0.013788426763110307,97.41089718056405,0.023933881371145962,0.02431816268082779,0.925697291646912,192.64548825845122,0.043545544,0.034635045,0.26663393,91.77,88.7,96.36
student_dropout,6,2,37,avatars,random,lsa,0.11888839957550958,0.01198010849909584,0.09982084748869886,0.013788426763110307,147.15802351034046,0.03615676253325318,0.03544202181848426,0.9915035019596248,209.97422984987497,0.04746253,0.037235256,0.3556546,91.77,88.7,99.21
student_dropout,6,2,37,original,gower,lsa,0.1224320947263778,0.014918625678119348,0.1034696646443924,0.014918625678119348,144.20767285020827,0.028012368463521425,0.029447933831175846,1.0068529523327858,141.1098411846906,0.031896435,0.02610285,0.22196533,,,96.97
student_dropout,6,2,37,original,proj_eucl_all_source,lsa,0.1224320947263778,0.014918625678119348,0.1034696646443924,0.014918625678119348,125.25225704924046,0.024330275262090226,0.02758898125872507,1.0161756648543856,127.9619688950479,0.028924497,0.024030102,0.21277286,,,96.13
student_dropout,6,2,37,original,row_order,lsa,0.1224320947263778,0.014918625678119348,0.1034696646443924,0.014918625678119348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,89.99
student_dropout,6,2,37,original,random,lsa,0.1224320947263778,0.014918625678119348,0.1034696646443924,0.014918625678119348,167.74889091374706,0.03258525464525001,0.03230224558699037,0.9975302398111856,153.5472303405404,0.03470778,0.029207544,0.2163578,,,98.44
student_dropout,7,2,37,avatars,gower,lsa,0.0699091167702835,0.00135623869801085,0.06672316022055759,0.00135623869801085,125.548649091675,0.03252555675950129,0.03369216043116261,0.9800850892171472,213.09646252542734,0.04816828,0.037367586,0.24672754,92.45,89.22,98.78
student_dropout,7,2,37,avatars,proj_eucl_all_source,lsa,0.0699091167702835,0.00135623869801085,0.06672316022055759,0.00135623869801085,123.79163418424632,0.032070371550322885,0.03254191399041668,1.0183909871751216,215.68025802075863,0.04875232,0.038091995,0.31135768,92.45,89.22,98.42
student_dropout,7,2,37,avatars,row_order,lsa,0.0699091167702835,0.00135623869801085,0.06672316022055759,0.00135623869801085,101.58337887481781,0.02631693753233622,0.025730515691735255,0.9290105586065148,201.92753446102142,0.045643654,0.035689514,0.28909108,92.45,89.22,95.55
student_dropout,7,2,37,avatars,random,lsa,0.0699091167702835,0.00135623869801085,0.06672316022055759,0.00135623869801085,137.10378923607752,0.035519116382403494,0.03537067182572175,1.0056223545224634,216.9214682728052,0.049032886,0.038389444,0.2859546,92.45,89.22,98.76
student_dropout,7,2,37,original,gower,lsa,0.06936099802287282,0.00135623869801085,0.06611916991073491,0.00135623869801085,141.75353878487385,0.02953198724684872,0.030887275183913446,0.9882075272895858,130.3231460954994,0.029458217,0.026861627,0.23681042,,,95.95
student_dropout,7,2,37,original,proj_eucl_all_source,lsa,0.06936099802287282,0.00135623869801085,0.06611916991073491,0.00135623869801085,136.64722914478017,0.02846817273849587,0.03035389784312178,1.006852952332786,118.95619356259704,0.026888832,0.023656001,0.18783021,,,96.07
student_dropout,7,2,37,original,row_order,lsa,0.06936099802287282,0.00135623869801085,0.06611916991073491,0.00135623869801085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,86.08
student_dropout,7,2,37,original,random,lsa,0.06936099802287282,0.00135623869801085,0.06611916991073491,0.00135623869801085,153.65295856317613,0.03201103303399502,0.031910169274916626,0.9788848147679862,137.80743296816945,0.031149963,0.027591454,0.20321664,,,95.82
student_dropout,8,4,37,avatars,gower,lsa,0.17793147401054776,0.03955696202531646,0.15774723266343113,0.04452983725135624,103.5426647079664,0.03256058638615296,0.03299076036023592,1.0118955337427666,211.47653199732304,0.04780211,0.036424514,0.2395846,91.23,88.81,98.8
student_dropout,8,4,37,avatars,proj_eucl_all_source,lsa,0.17793147401054776,0.03955696202531646,0.15774723266343113,0.04452983725135624,95.37383392186935,0.029991771673543815,0.029675996987294437,1.0118955337427662,217.7506184950471,0.049220305,0.03861175,0.34584302,91.23,88.81,98.4
student_dropout,8,4,37,avatars,row_order,lsa,0.17793147401054776,0.03955696202531646,0.15774723266343113,0.04452983725135624,83.06870311751666,0.02612223368475367,0.025316078529468267,0.9534440254739784,198.83477325737476,0.04494457,0.036086343,0.2491222,91.23,88.81,96.63
student_dropout,8,4,37,avatars,random,lsa,0.17793147401054776,0.03955696202531646,0.15774723266343113,0.04452983725135624,121.54705948994793,0.038222345751555954,0.037897027293896726,1.0118955337427664,220.9134016558528,0.049935218,0.039763685,0.28378204,91.23,88.81,99.23
student_dropout,8,4,37,original,gower,lsa,0.1854639647291248,0.055831826401446655,0.15799355548377078,0.055831826401446655,113.27188262414556,0.026841678346953925,0.029106983823590716,0.9695621022463863,125.1309605538845,0.028284574,0.025034547,0.20869173,,,96.61
student_dropout,8,4,37,original,proj_eucl_all_source,lsa,0.1854639647291248,0.055831826401446655,0.15799355548377078,0.055831826401446655,88.48709445960979,0.020968505796116064,0.024642972857009546,0.932271252159987,110.39243877865374,0.024953084,0.022860786,0.17593098,,,95.41
student_dropout,8,4,37,original,row_order,lsa,0.1854639647291248,0.055831826401446655,0.15799355548377078,0.055831826401446655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,89.81
student_dropout,8,4,37,original,random,lsa,0.1854639647291248,0.055831826401446655,0.15799355548377078,0.055831826401446655,139.65019833052853,0.03309246405936695,0.0343438463266203,0.9975302398111862,148.78807485103607,0.033632025,0.028663721,0.27683574,,,97.51
student_dropout,9,8,37,avatars,gower,lsa,0.3404037675412068,0.9882459312839059,0.2888611548315053,0.9758137432188065,91.24068919521791,0.030782958567887285,0.025675576824140272,0.42609976163264907,208.1268689967692,0.047044955,0.037387572,0.25798386,89.65,89.4,98.76
student_dropout,9,8,37,avatars,proj_eucl_all_source,lsa,0.3404037675412068,0.9882459312839059,0.2888611548315053,0.9758137432188065,71.5866348731325,0.024152036057062246,0.019718693873407613,0.25068391348978825,205.50155114382505,0.046451524,0.036765475,0.31985873,89.65,89.4,98.24
student_dropout,9,8,37,avatars,row_order,lsa,0.3404037675412068,0.9882459312839059,0.2888611548315053,0.9758137432188065,69.38261284237925,0.023408438880694757,0.018791875049174716,0.2680753791502034,195.92901862040162,0.044287752,0.035219625,0.36314112,89.65,89.4,97.15
student_dropout,9,8,37,avatars,random,lsa,0.3404037675412068,0.9882459312839059,0.2888611548315053,0.9758137432188065,108.11759276226735,0.03647692063504296,0.03077350242124186,0.6478437468619305,204.79647701978683,0.046292152,0.036128838,0.337722,89.65,89.4,99.16
student_dropout,9,8,37,original,gower,lsa,0.33859689819785493,0.9400994575045208,0.2890949629641234,0.9400994575045208,80.2257352473835,0.021007000588474333,0.017710833149731216,0.3714857776151061,99.98388648591936,0.022600336,0.027097397,0.20254068,,,96.86
student_dropout,9,8,37,original,proj_eucl_all_source,lsa,0.33859689819785493,0.9400994575045208,0.2890949629641234,0.9400994575045208,5.288118398271149,0.0013846866714509428,0.001555777681137428,0.07054293650340827,6.684771649539471,0.0015110243,0.0071904487,0.09274575,,,93.83
student_dropout,9,8,37,original,row_order,lsa,0.33859689819785493,0.9400994575045208,0.2890949629641234,0.9400994575045208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,94.42
student_dropout,9,8,37,original,random,lsa,0.33859689819785493,0.9400994575045208,0.2890949629641234,0.9400994575045208,121.17273272849448,0.03172891666103548,0.02727902265595786,0.6331654186943001,144.60481598600745,0.032686442,0.027087014,0.22888711,,,98.49
student_dropout,10,2,37,avatars,gower,lsa,0.09381780042245455,0.858499095840868,0.0838222091683984,0.8666365280289331,140.38656579625848,0.033763002837002995,0.03407101800689416,1.0039555921129277,211.83219154551625,0.0478825,0.037410457,0.30290735,92.09,87.91,99.43
student_dropout,10,2,37,avatars,proj_eucl_all_source,lsa,0.09381780042245455,0.858499095840868,0.0838222091683984,0.8666365280289331,135.15256215658883,0.03250422370288331,0.032316627393330674,0.990494407876318,201.53677907586098,0.045555327,0.035367936,0.23749319,92.09,87.91,98.69
student_dropout,10,2,37,avatars,row_order,lsa,0.09381780042245455,0.858499095840868,0.0838222091683984,0.8666365280289331,103.95936994454708,0.02500225347391705,0.02500914156157431,0.977033223639708,185.59392040222883,0.041951608,0.033666294,0.26890957,92.09,87.91,96.11
student_dropout,10,2,37,avatars,random,lsa,0.09381780042245455,0.858499095840868,0.0838222091683984,0.8666365280289331,149.32413378928882,0.03591249008881405,0.03534489543819703,1.0174167763495385,211.37179601565003,0.047778435,0.037475638,0.28393897,92.09,87.91,99.14
student_dropout,10,2,37,original,gower,lsa,0.08666393426239828,0.20592224231464737,0.08244873900182352,0.20592224231464737,143.62908288489007,0.027202477819107968,0.02890031850268604,0.9509166772031867,130.29635133594275,0.02945216,0.026483508,0.22478046,,,97.15
student_dropout,10,2,37,original,proj_eucl_all_source,lsa,0.08666393426239828,0.20592224231464737,0.08244873900182352,0.20592224231464737,110.91118262678538,0.021005905800527535,0.02375800974034276,0.8390441269439888,101.22368444688618,0.022880578,0.023615727,0.17232671,,,96.11
student_dropout,10,2,37,original,row_order,lsa,0.08666393426239828,0.20592224231464737,0.08244873900182352,0.20592224231464737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,90.64
student_dropout,10,2,37,original,random,lsa,0.08666393426239828,0.20592224231464737,0.08244873900182352,0.20592224231464737,168.93777239025462,0.031995790225427014,0.03235584244975599,0.9975302398111858,145.66927967965603,0.03292705,0.027581705,0.19800201,,,98.1
student_dropout,11,6,37,avatars,gower,lsa,0.2752573704293235,0.9034810126582279,0.27124196507781684,0.8752260397830018,113.02683854913028,0.03233033139277182,0.03332835284982398,1.004719316826291,208.65687560662627,0.047164753,0.036727317,0.26126236,89.49,88.27,99.14
student_dropout,11,6,37,avatars,proj_eucl_all_source,lsa,0.2752573704293235,0.9034810126582279,0.27124196507781684,0.8752260397830018,101.07518596506827,0.028911666465980628,0.03080932832167101,0.9784573575313096,206.75520012155175,0.046734903,0.036032345,0.23436376,89.49,88.27,98.78
student_dropout,11,6,37,avatars,row_order,lsa,0.2752573704293235,0.9034810126582279,0.27124196507781684,0.8752260397830018,84.89001621570696,0.02428204125163243,0.02522742668471711,0.9784573575313097,183.6563096307218,0.041513633,0.032584794,0.24176824,89.49,88.27,97.33
student_dropout,11,6,37,avatars,random,lsa,0.2752573704293235,0.9034810126582279,0.27124196507781684,0.8752260397830018,123.53594839433481,0.03533636967801339,0.036138690857548145,0.9784573575313096,213.86652084439993,0.04834234,0.038097017,0.26381066,89.49,88.27,99.14
student_dropout,11,6,37,original,gower,lsa,0.2600103212355638,0.7979204339963833,0.26489665844247945,0.7979204339963833,103.84169695333878,0.0229636658454973,0.02413174653839865,0.7924305643359892,104.18644178286195,0.023550281,0.027012631,0.25373146,,,96.54
student_dropout,11,6,37,original,proj_eucl_all_source,lsa,0.2600103212355638,0.7979204339963833,0.26489665844247945,0.7979204339963833,26.1384856628886,0.005780293158533524,0.007414704629202422,0.2676268044738882,22.28764460608363,0.005037894,0.013224228,0.1251271,,,94.46
student_dropout,11,6,37,original,row_order,lsa,0.2600103212355638,0.7979204339963833,0.26489665844247945,0.7979204339963833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,94.71
student_dropout,11,6,37,original,random,lsa,0.2600103212355638,0.7979204339963833,0.26489665844247945,0.7979204339963833,142.2622952660709,0.03146003875852961,0.03244252694449339,0.9975302398111859,150.83878173679113,0.034095563,0.028160285,0.25979176,,,97.99
student_dropout,12,8,37,avatars,gower,lsa,0.34378899334075114,0.9966094032549728,0.37257486150586405,0.9936708860759493,93.1662252688291,0.03147507610433416,0.026287226004153355,0.5547475402724801,218.98172210156918,0.04949858,0.038125984,0.24409993,89.56,87.82,98.71
student_dropout,12,8,37,avatars,proj_eucl_all_source,lsa,0.34378899334075114,0.9966094032549728,0.37257486150586405,0.9936708860759493,78.04657332175191,0.02636708558167295,0.02152920716991146,0.4151096039903125,212.03359432518482,0.047928028,0.036792662,0.24166489,89.56,87.82,98.58
student_dropout,12,8,37,avatars,row_order,lsa,0.34378899334075114,0.9966094032549728,0.37257486150586405,0.9936708860759493,66.18903736878167,0.022361161273237052,0.017477800748926603,0.31305506967619223,205.46046105399728,0.046442237,0.035537895,0.21991473,89.56,87.82,95.5
student_dropout,12,8,37,avatars,random,lsa,0.34378899334075114,0.9966094032549728,0.37257486150586405,0.9936708860759493,112.76442279474702,0.03809608878200912,0.030891283958564147,0.6407574758418733,226.73963988944888,0.05125218,0.038374446,0.26983967,89.56,87.82,98.87
student_dropout,12,8,37,original,gower,lsa,0.3403744683484579,0.8297920433996383,0.3743985211205206,0.8297920433996383,78.37917939648747,0.020496647331717435,0.01727671411770456,0.3981871813095509,88.03132100775838,0.01989858,0.023698192,0.1849287,,,92.79
student_dropout,12,8,37,original,proj_eucl_all_source,lsa,0.3403744683484579,0.8297920433996383,0.3743985211205206,0.8297920433996383,8.378597407305957,0.0021910558073498843,0.002497013934603411,0.047781959536769,14.058837700635195,0.0031778566,0.010609865,0.15264529,,,83.25
student_dropout,12,8,37,original,row_order,lsa,0.3403744683484579,0.8297920433996383,0.3743985211205206,0.8297920433996383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,83.5
student_dropout,12,8,37,original,random,lsa,0.3403744683484579,0.8297920433996383,0.3743985211205206,0.8297920433996383,126.05382535117315,0.032963866462126866,0.027516975873897728,0.6284808565553957,135.54292210005224,0.03063809,0.025243226,0.18943611,,,98.03
student_dropout,13,3,37,avatars,gower,lsa,0.18976531387597736,0.5673598553345389,0.14955227951298755,0.5433996383363472,123.0017066200368,0.036607650779772856,0.036210296997907135,0.9807441332798501,207.69799557328224,0.046948012,0.036815945,0.27741966,90.44,88.72,99.1
student_dropout,13,3,37,avatars,proj_eucl_all_source,lsa,0.18976531387597736,0.5673598553345389,0.14955227951298755,0.5433996383363472,118.83989709418898,0.03536901699231815,0.034249793058111024,0.9973661731569126,208.87354293465614,0.04721373,0.037238497,0.2302391,90.44,88.72,99.34
student_dropout,13,3,37,avatars,row_order,lsa,0.18976531387597736,0.5673598553345389,0.14955227951298755,0.5433996383363472,96.48159311674871,0.028714759856175203,0.027690196783544608,0.9973661731569125,197.4585383180529,0.044633485,0.035261683,0.29914582,90.44,88.72,95.32
student_dropout,13,3,37,avatars,random,lsa,0.18976531387597736,0.5673598553345389,0.14955227951298755,0.5433996383363472,134.5115705976805,0.04003320553502395,0.03895675879773049,0.9973661731569123,215.9783318825066,0.048819695,0.037666537,0.25530913,90.44,88.72,99.25
